word,ipa,index,clusterID
might,ˈm a ɪ t,470,350
possible,ˈp ɑ s ə b ə ɫ,471,350
likely,ˈɫ a ɪ k ɫ i,472,350
us,"ˈə s ,",473,724
u.s.,ˌj u ˈɛ s,474,724
united,j u ˈn a ɪ t ɪ d,475,724
states,ˈs t e ɪ t s,476,724
american,"ə ˈm ɛ ɹ ə k ə n ,",477,724
washington,"ˈw ɑ ʃ ɪ ŋ t ə n ,",478,724
america,"ə ˈm ɛ ɹ ə k ə ,",479,724
most,"ˈm o ʊ s ,",480,949
known,ˈn o ʊ n,481,949
popular,ˈp ɑ p j ə ɫ ɝ,482,949
highly,ˈh a ɪ ɫ i,483,949
widely,ˈw a ɪ d ɫ i,484,949
internationally,"ˌɪ n ɝ ˈn æ ʃ ə n ə ɫ i ,",485,949
what,"ˈh w ə t ,",486,130
like,ˈɫ a ɪ k,487,130
just,"ˈd ʒ ə s t ,",488,130
good,"ˈɡ ʊ d ,",489,130
think,ˈθ ɪ ŋ k,490,130
too,ˈt u,491,130
little,ˈɫ ɪ t ə ɫ,492,130
lot,"ˈɫ ɑ t ,",493,130
really,"ˈɹ i ɫ i ,",494,130
something,ˈs ə m θ ɪ ŋ,495,130
things,ˈθ ɪ ŋ z,496,130
thing,ˈθ ɪ ŋ,497,130
doing,ˈd u ɪ ŋ,498,130
kind,ˈk a ɪ n d,499,130
nothing,ˈn ə θ ɪ ŋ,500,130
bad,ˈb æ d,501,130
anything,ˈɛ n i ˌθ ɪ ŋ,502,130
everything,ˈɛ v ɹ i ˌθ ɪ ŋ,503,130
bit,ˈb ɪ t,504,130
quite,ˈk w a ɪ t,505,130
pretty,ˈp ɹ ɪ t i,506,130
sort,ˈs ɔ ɹ t,507,130
fun,ˈf ə n,508,130
stuff,ˈs t ə f,509,130
awful,"ˈɑ f ə ɫ ,",510,130
because,"b ɪ ˈk ɑ z ,",511,742
due,"ˈd j u ,",512,742
result,"ɹ i ˈz ə ɫ t ,",513,742
poor,ˈp u ɹ,514,742
conditions,k ə n ˈd ɪ ʃ ə n z,515,742
national,"ˈn æ ʃ ə n ə ɫ ,",516,815
season,ˈs i z ə n,517,815
won,"ˈw ɑ n ,",518,815
games,ˈɡ e ɪ m z,519,815
league,ˈɫ i ɡ,520,815
career,k ɝ ˈɪ ɹ,521,815
club,ˈk ɫ ə b,522,815
division,d ɪ ˈv ɪ ʒ ə n,523,815
winning,ˈw ɪ n ɪ ŋ,524,815
sports,ˈs p ɔ ɹ t s,525,815
events,"i ˈv ɛ n t s ,",526,815
grand,ˈɡ ɹ æ n d,527,815
professional,p ɹ ə ˈf ɛ ʃ ə n ə ɫ,528,815
regular,"ˈɹ e ɪ ɡ j ə ɫ ɝ ,",529,815
challenge,ˈt ʃ æ ɫ ə n d ʒ,530,815
debut,"ˈd e ɪ b j u ,",531,815
super,ˈs u p ɝ,532,815
youth,ˈj u θ,533,815
appearance,ə ˈp ɪ ɹ ə n s,534,815
sport,ˈs p ɔ ɹ t,535,815
minor,ˈm a ɪ n ɝ,536,815
seasons,ˈs i z ə n z,537,815
miss,ˈm ɪ s,538,815
racing,ˈɹ e ɪ s ɪ ŋ,539,815
junior,ˈd ʒ u n j ɝ,540,815
squad,ˈs k w ɑ d,541,815
classic,ˈk ɫ æ s ɪ k,542,815
clubs,ˈk ɫ ə b z,543,815
titles,ˈt a ɪ t ə ɫ z,544,815
compete,k ə m ˈp i t,545,815
appearances,ə ˈp ɪ ɹ ə n s ə z,546,815
joining,ˈd ʒ ɔ ɪ n ɪ ŋ,547,815
promoted,p ɹ ə ˈm o ʊ t ɪ d,548,815
promotion,"p ɝ ˈm o ʊ ʃ ə n ,",549,815
finishing,ˈf ɪ n ɪ ʃ ɪ ŋ,550,815
ranks,ˈɹ æ ŋ k s,551,815
competing,k ə m ˈp i t ɪ ŋ,552,815
competed,k ə m ˈp i t ɪ d,553,815
triple,ˈt ɹ ɪ p ə ɫ,554,815
elite,"e ɪ ˈɫ i t ,",555,815
franchise,ˈf ɹ æ n ˌt ʃ a ɪ z,556,815
amateur,"ˈæ m ə ˌt ɝ ,",557,815
sporting,ˈs p ɔ ɹ t ɪ ŋ,558,815
boxing,ˈb ɑ k s ɪ ŋ,559,815
wrestling,"ˈɹ ɛ s ə ɫ ɪ ŋ ,",560,815
stakes,ˈs t e ɪ k s,561,815
leagues,ˈɫ i ɡ z,562,815
rankings,ˈɹ æ ŋ k ɪ ŋ z,563,815
tag,ˈt æ ɡ,564,815
nascar,ˈn æ s ˌk ɑ ɹ,565,815
chess,ˈt ʃ ɛ s,566,815
ladies,ˈɫ e ɪ d i z,567,815
majors,ˈm e ɪ d ʒ ɝ z,568,815
boxer,ˈb ɑ k s ɝ,569,815
tier,ˈt i ɹ,570,815
favourite,ˈf e ɪ v ɝ ɪ t,571,815
relegated,ˈɹ ɛ ɫ ə ˌɡ e ɪ t ɪ d,572,815
speedway,ˈs p i d ˌw e ɪ,573,815
turf,ˈt ɝ f,574,815
stint,ˈs t ɪ n t,575,815
finishes,ˈf ɪ n ɪ ʃ ɪ z,576,815
busch,ˈb ʊ ʃ,577,815
afl,ˌe ɪ ˌɛ ˈf ɛ ɫ,578,815
day,ˈd e ɪ,579,41
night,ˈn a ɪ t,580,41
hours,"ˈa ʊ ɝ z ,",581,41
closed,ˈk ɫ o ʊ z d,582,41
morning,ˈm ɔ ɹ n ɪ ŋ,583,41
hour,"ˈa ʊ ɝ ,",584,41
session,ˈs ɛ ʃ ə n,585,41
afternoon,ˌæ f t ɝ ˈn u n,586,41
evening,ˈi v n ɪ ŋ,587,41
closing,ˈk ɫ o ʊ z ɪ ŋ,588,41
overnight,ˈo ʊ v ɝ ˈn a ɪ t,589,41
yesterday,"ˈj ɛ s t ɝ ˌd e ɪ ,",590,41
midnight,ˈm ɪ d ˌn a ɪ t,591,41
dawn,ˈd ɔ n,592,41
noon,ˈn u n,593,41
midday,ˈm ɪ d ˌd e ɪ,594,41
then,ˈð ɛ n,595,413
again,"ə ˈɡ e ɪ n ,",596,413
soon,ˈs u n,597,413
immediately,ˌɪ ˈm i ˌd i ə t ɫ i,598,413
quickly,ˈk w ɪ k ɫ i,599,413
eventually,"i ˈv ɛ n ʃ ə ɫ i ,",600,413
finally,ˈf a ɪ n ə ɫ i,601,413
transferred,"ˈt ɹ æ n s f ɝ d ,",602,413
subsequently,ˈs ə b s ə k w ə n t ɫ i,603,413
stepped,ˈs t ɛ p t,604,413
briefly,ˈb ɹ i f ɫ i,605,413
suddenly,ˈs ə d ə n ɫ i,606,413
slowly,ˈs ɫ o ʊ ɫ i,607,413
withdrew,"w ɪ ð ˈd ɹ u ,",608,413
afterwards,ˈæ f t ɝ w ɝ d z,609,413
afterward,ˈæ f t ɝ w ɝ d,610,413
switched,ˈs w ɪ t ʃ t,611,413
quietly,ˈk w a ɪ ə t ɫ i,612,413
withdrawn,"w ɪ ð ˈd ɹ ɔ n ,",613,413
thereafter,ð ɛ ˈɹ æ f t ɝ,614,413
revived,"ɹ i ˈv a ɪ v d ,",615,413
instantly,ˈɪ n s t ə n t ɫ i,616,413
promptly,"ˈp ɹ ɑ m p ɫ i ,",617,413
proceeded,"p ɹ ə ˈs i d ɪ d ,",618,413
